Water_Availability,Groundnuts_Yield_2021,Groundnuts_Yield_2024,Cotton_Yield_2021,Cotton_Yield_2024,Yield_Changes_2021 to 2024,Borewell_Recharge,Agri_Income_2021 to 2024,Cattle_Population_2021,Cattle_Population_2024,Views_on_Lake_Rejuvenation,Willing_to_Be_Committee_Member
Improved,10,10,1,1,No change,No change,No change,6,6,Neutral,TRUE
shortage,5,5,1,2,No change,No change,No change,6,15,Positive,TRUE
Improved,1,3,1,3,Improved,Increased ,Increased,6,15,Positive,TRUE
shortage,5,5,1,2,No change,No change,No change,6,15,Positive,TRUE
Improved,7,15,3,12,Improved,Increased ,Increased,6,15,Positive,FALSE
Improved,8,12,3,5,Improved,Increased ,Increased,5,5,Positive,TRUE
Improved,5,6,1,2,Improved,Increased ,Increased,6,15,Positive,FALSE
Improved,6,5,4,6,Improved,Increased ,Increased,6,15,Positive,TRUE
Improved,5,5,1,1,No change,No change,No change,6,15,Positive,TRUE
Improved,5,5,3,5,Improved,Increased ,Increased,6,15,Positive,FALSE
Improved,7,8,1,1,Improved,Increased ,Increased,6,15,Positive,TRUE
shortage,5,5,2,2,No change,Increased ,No change,6,15,Positive,TRUE
Improved,5,5,3,3,No change,No change,No change,6,15,Positive,TRUE
Improved,1,3,2,2,Improved,Increased ,Adequate,6,15,Positive,TRUE
Improved,6,9,1,2,Improved,Increased ,Increased,6,15,Positive,TRUE
Improved,9,19,4,10,Improved,Increased ,Increased,6,15,Positive,FALSE
Improved,2,4,2,4,Improved,Increased ,Increased,6,12,Neutral,TRUE
Improved,3,4,2,3,Improved,Increased ,Increased,6,12,Neutral,TRUE
shortage,4,4,2,2,No change,No change,No change,6,12,Positive,TRUE
shortage,6,6,1,1,No change,No change,No change,6,12,Positive,TRUE
Improved,1,3,4,5,Improved,Increased ,Increased,6,12,Positive,FALSE
Improved,5,5,3,4,Improved,Increased ,Increased,6,12,Positive,TRUE
Improved,1,1,1,2,Improved,Increased ,Increased,6,12,Positive,TRUE
Improved,4,5,2,3,Improved,Increased ,Increased,6,15,Positive,TRUE
Improved,3,4,3,4,Improved,Increased ,Increased,6,15,Neutral,TRUE
Improved,6,24,5,12,Improved,Increased ,Increased,6,15,Positive,TRUE
shortage,5,5,2,2,No change,No change,No change,6,15,Neutral,TRUE
Improved,2,3,1,3,Improved,Increased ,Adequate,6,13,Positive,TRUE
